id;date;description;totals_actifs;total_passifs
1;2023-10-23T00:36:50;loin de jouir altruiste;20251;6796
2;2023-10-22T22:40:46;sauvage candide;20315;3141
3;2023-10-22T22:35:00;au cas où sans que;1427;17380
4;2023-10-23T02:50:29;trop;30121;6872
5;2023-10-22T23:49:15;depuis tant que;20652;14062
6;2023-10-23T09:15:53;étant donné que;21380;14444
7;2023-10-23T12:47:02;cocher;4495;29495
8;2023-10-23T08:51:45;recta autant;20731;26416
9;2023-10-23T18:40:56;incognito solitaire;24837;7776
10;2023-10-23T21:17:08;à cause de trop quoique;32090;17202
