id;numero_compte;nom;description;cloture
1;maigre;en plus de;tousser rocher pff;false
2;au moyen de immense;après que parmi oups;bzzz;false
3;vaste d'avec;sombre tant grrr;sous triathlète à l'encontre de;false
4;espiègle vite;du fait que rectorat adepte;ouin;true
5;drelin;avant que près planter;toc après que chef;true
6;acheter à peine à partir de;préciser comme;un peu marron;true
7;répartir à l'instar de;diplomate de peur que;pour que toutefois;false
8;lectorat équipe de recherche regretter;euh redire;souvent personnel vu que;false
9;afin de tendre;embarquer;cadre athlète convenir;false
10;cot cot lorsque triathlète;d'avec;bof groin groin;false
