id;numero_compte;nom;description
1;communiquer ouf;doucement;triathlète
2;au-dessous de entre-temps membre du personnel;d’autant que propre;rédaction
3;lécher;infiniment glouglou;en de façon que affable
4;drelin bang diviser;du côté de immense grâce à;jusqu’à ce que commissionnaire
5;de peur de;ah;ah d'avec au-dessous de
6;ronron;souvent;atchoum aussitôt que
7;commis de cuisine de façon à;incalculable svelte;mal
8;membre du personnel;craindre police gens;grossir personnel repentir
9;quand;hi comme;assimiler
10;de manière à ce que;à travers tant que;quant à hystérique ding
