id;numero_compte;nom;description
1;hormis bang dessus;mince;de peur de
2;triathlète;ouin;réduire lorsque terriblement
3;foule réagir;près pourvu que apprivoiser;trop juriste quoique
4;tant que;foule candide retentir;de crainte que tandis que affable
5;atchoum outre;chef même si quelque;badaboum contre
6;dès que;dehors abolir avant que;au-dehors areu areu alors
7;à défaut de ;publier vite;également vlan
8;si bien que recta;aïe;quoique
9;être avant;debout;timide zzzz hebdomadaire
10;pour que envers ouin;pour que;pschitt grâce à
