id;date;description;montant;reference
1;2023-10-23T01:12:31;regagner au point que sauf;25844;imaginer
2;2023-10-23T13:49:03;cocorico;14898;quasi atteindre
3;2023-10-23T13:11:05;membre titulaire soit clac;27908;d'après
4;2023-10-23T07:53:42;sans que agir brusque;21873;debout avex
5;2023-10-23T10:17:07;en dedans de;16453;sentir
6;2023-10-23T01:25:57;arrière;12070;épouser loin de par suite de
7;2023-10-23T22:08:23;devant;19571;ronron
8;2023-10-23T09:58:18;badaboum résoudre;20888;ouah dorénavant
9;2023-10-22T22:52:59;adversaire toc délectable;1916;cuicui rectorat
10;2023-10-22T23:40:37;moderne acquérir;1482;doucement oh
