id;date;description;montant;reference
1;2023-10-23T19:02:48;meuh dans la mesure où commis de cuisine;8931;complètement redonner aimable
2;2023-10-23T11:09:06;en dedans de camarade zzzz;1045;tandis que
3;2023-10-22T23:02:55;accommoder après-demain;31014;exploiter posséder
4;2023-10-23T14:58:05;réserver;7498;hypocrite de peur de paf
5;2023-10-23T16:03:19;lunatique proche de sorte que;1672;guide mairie
6;2023-10-23T22:32:20;d'entre;16607;communauté étudiante à l'égard de tout
7;2023-10-23T17:35:34;quitte à;14290;plier
8;2023-10-23T10:42:45;pendant que;3772;meuh guide blablabla
9;2023-10-23T07:40:36;désormais;9301;plonger ici vroum
10;2023-10-23T10:40:08;doucement;15062;prestataire de services
