id;numero_piece;date_piece;description
1;expliquer;2023-10-20T01:38:15;à l'entour de
2;débile plouf;2023-10-21T00:59:55;éloigner de trop
3;de façon à ce que actionnaire;2023-10-20T09:24:50;sage souvent
4;triangulaire;2023-10-20T21:56:35;apparaître
5;quitte à bzzz rapide;2023-10-20T22:44:45;avant que à défaut de 
6;bof sauvage traduire;2023-10-20T05:59:36;consulter
7;miam;2023-10-20T07:38:08;de sorte que orange
8;spécialiste tranquille;2023-10-20T18:54:56;rapide cot cot
9;gens;2023-10-20T12:14:38;hier ding
10;diététiste ding;2023-10-20T10:42:40;verger triompher longtemps
