id;nom;description;contenu
1;plutôt jusqu’à ce que coin-coin;autour relier;bè si bien que de crainte que
2;bof;au lieu de complètement plouf;égoïste
3;prestataire de services combiner;à condition que;rafraîchir tard autour
4;cultiver longtemps pendant que;à la merci entretenir de peur que;efficace où
5;consommer ouch;clac tant que propre;oups ouf zzzz
6;d'après;oui chef de cuisine;pratiquer
7;équiper intrépide;oups cadre quitte à;jusqu’à ce que
8;triathlète de peur que prier;reconnaître extrêmement;malade
9;secours;super du moment que hôte;dring aïe
10;d'après peu;observer du fait que;du côté de réciter
