id;date;libelle;montant
1;2023-10-20T21:24:31;jusque;29740
2;2023-10-20T17:18:58;membre du personnel porte-parole tard;12614
3;2023-10-20T23:24:31;lorsque;32585
4;2023-10-20T19:25:36;trembler;30674
5;2023-10-20T11:55:01;oui dans la mesure où;20708
6;2023-10-20T10:41:18;gestionnaire membre à vie égoïste;27382
7;2023-10-20T07:33:54;préférer quasi bè;18665
8;2023-10-20T23:13:38;au cas où;18643
9;2023-10-20T20:08:49;essayer défaire forcer;3691
10;2023-10-20T18:48:23;au défaut de alors que chef;20376
